epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,3359.26,1.75469,1.29737,1.34464,0.83128,0.75168,0.81299,0.34863,1.91001,1.1049,1.45777,0.003763,0.003763,0.003763
65,3411.96,1.7457,1.30987,1.34835,0.83173,0.75484,0.81712,0.35342,1.88891,1.10436,1.45192,0.003664,0.003664,0.003664
66,3464.44,1.74185,1.29796,1.34295,0.82605,0.76384,0.82606,0.35502,1.89481,1.10359,1.45519,0.003565,0.003565,0.003565
67,3517.09,1.74127,1.29314,1.33572,0.84237,0.77036,0.82365,0.35862,1.88434,1.10645,1.44381,0.003466,0.003466,0.003466
68,3569.67,1.73174,1.28018,1.33578,0.83203,0.76195,0.81708,0.35153,1.89349,1.09837,1.44674,0.003367,0.003367,0.003367
69,3622.11,1.73326,1.28805,1.33977,0.83299,0.76459,0.81881,0.35919,1.88416,1.10319,1.44729,0.003268,0.003268,0.003268
70,3674.66,1.73714,1.26013,1.33905,0.85424,0.75209,0.82816,0.36467,1.87664,1.0799,1.44066,0.003169,0.003169,0.003169
71,3727.2,1.73946,1.26891,1.33815,0.85361,0.76243,0.83294,0.36092,1.87985,1.07698,1.44147,0.00307,0.00307,0.00307
72,3779.8,1.73389,1.26708,1.33978,0.82645,0.77385,0.82807,0.35956,1.88943,1.07887,1.44994,0.002971,0.002971,0.002971
73,3832.28,1.7238,1.23663,1.32985,0.84307,0.76969,0.8344,0.36474,1.87839,1.06978,1.4419,0.002872,0.002872,0.002872
74,3884.75,1.73253,1.23515,1.32361,0.83687,0.77702,0.83599,0.36122,1.8908,1.07042,1.44407,0.002773,0.002773,0.002773
75,3937.27,1.7371,1.23697,1.33227,0.84624,0.77432,0.83334,0.36443,1.87665,1.07057,1.43602,0.002674,0.002674,0.002674
76,3989.73,1.72448,1.23901,1.32889,0.85675,0.7827,0.83663,0.36876,1.87847,1.06599,1.43778,0.002575,0.002575,0.002575
77,4042.22,1.72207,1.24332,1.33044,0.85667,0.77465,0.83299,0.36355,1.88168,1.07997,1.44099,0.002476,0.002476,0.002476
78,4094.75,1.72542,1.23131,1.32944,0.84451,0.77556,0.83044,0.36156,1.88024,1.08083,1.43891,0.002377,0.002377,0.002377
79,4147.21,1.70538,1.23148,1.32647,0.83482,0.77837,0.83431,0.36809,1.87695,1.06774,1.43663,0.002278,0.002278,0.002278
80,4199.68,1.71367,1.22497,1.31465,0.85006,0.78088,0.83533,0.36763,1.87952,1.0626,1.43943,0.002179,0.002179,0.002179
81,4252.24,1.72166,1.2168,1.32025,0.85308,0.77168,0.84082,0.36789,1.87641,1.0584,1.43684,0.00208,0.00208,0.00208
82,4304.69,1.71115,1.21065,1.31986,0.85935,0.78051,0.83997,0.36748,1.88095,1.05805,1.43864,0.001981,0.001981,0.001981
83,4357.27,1.71086,1.19827,1.31494,0.85786,0.77965,0.84033,0.36861,1.87834,1.056,1.43732,0.001882,0.001882,0.001882
84,4409.86,1.70215,1.20074,1.31603,0.87119,0.77877,0.84462,0.37013,1.87526,1.05071,1.43252,0.001783,0.001783,0.001783
85,4462.37,1.69284,1.19008,1.31215,0.8779,0.77941,0.84487,0.36884,1.88443,1.04099,1.43623,0.001684,0.001684,0.001684
86,4515.02,1.69959,1.18395,1.31147,0.85639,0.79405,0.84815,0.37032,1.88405,1.03777,1.4385,0.001585,0.001585,0.001585
87,4567.67,1.69534,1.16977,1.30841,0.86327,0.79712,0.85213,0.37215,1.88745,1.03521,1.4403,0.001486,0.001486,0.001486
