                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.97083,                0.59534,                 1.0467,                 0.8401,                0.81147,                0.85433,                0.34914,                 2.0445,                0.92196,                 1.7632,             0.00087492,             0.00087492,             0.00087492
                     48,                0.96298,                0.59368,                 1.0379,                0.84451,                0.80654,                0.85043,                0.36597,                   2.03,                0.93984,                 1.7586,             0.00086539,             0.00086539,             0.00086539
                     49,                0.93105,                0.57186,                 1.0227,                0.84108,                0.80957,                0.85075,                0.36629,                  2.014,                0.93147,                 1.7215,             0.00085573,             0.00085573,             0.00085573
                     50,                0.92889,                0.57941,                 1.0257,                0.86844,                0.79785,                0.86344,                0.36251,                 2.0034,                0.89623,                 1.7138,             0.00084594,             0.00084594,             0.00084594
                     51,                0.92372,                0.56927,                 1.0189,                0.82457,                0.82985,                 0.8532,                0.35593,                 2.0232,                0.88807,                 1.7565,             0.00083603,             0.00083603,             0.00083603
                     52,                0.92266,                0.56891,                 1.0242,                  0.846,                0.82363,                0.85625,                0.36469,                  2.005,                0.89417,                 1.7032,             0.00082599,             0.00082599,             0.00082599
                     53,                0.89942,                0.54477,                 1.0105,                0.86713,                0.79748,                0.85452,                0.36772,                 1.9919,                0.90559,                 1.6892,             0.00081584,             0.00081584,             0.00081584
                     54,                0.90769,                0.56505,                 1.0123,                0.82612,                0.83507,                0.85187,                0.36549,                 2.0071,                0.89187,                 1.7136,             0.00080558,             0.00080558,             0.00080558
                     55,                0.90012,                0.54825,                 1.0104,                0.85636,                0.80006,                0.85622,                0.37342,                 1.9966,                0.90123,                 1.7193,             0.00079521,             0.00079521,             0.00079521
                     56,                0.88327,                0.55101,                 1.0062,                  0.857,                0.81426,                0.85759,                0.37623,                 1.9761,                0.88733,                 1.6865,             0.00078474,             0.00078474,             0.00078474
                     57,                0.86401,                0.53806,                 0.9959,                0.84585,                0.82118,                0.86324,                0.36883,                 2.0138,                0.89591,                 1.7224,             0.00077417,             0.00077417,             0.00077417
                     58,                0.85857,                0.53097,                0.99695,                0.87223,                0.80623,                0.86231,                0.37301,                 1.9841,                0.88344,                    1.7,              0.0007635,              0.0007635,              0.0007635
                     59,                0.86218,                0.53759,                0.99716,                0.82656,                0.79281,                0.83494,                 0.3601,                 2.0319,                0.90802,                 1.7275,             0.00075275,             0.00075275,             0.00075275
                     60,                0.85059,                0.52505,                0.98776,                0.84495,                0.82265,                 0.8561,                0.36971,                 1.9951,                0.87996,                 1.7046,             0.00074191,             0.00074191,             0.00074191
                     61,                0.83736,                0.51631,                0.98167,                 0.8464,                0.81493,                0.85821,                0.37369,                 1.9766,                 0.8899,                 1.6712,               0.000731,               0.000731,               0.000731
                     62,                0.83647,                0.51327,                0.98545,                  0.852,                0.83227,                0.86842,                0.37314,                 1.9788,                0.85335,                 1.6738,             0.00072001,             0.00072001,             0.00072001
                     63,                0.83927,                0.51774,                0.98439,                0.87497,                0.83111,                0.87627,                0.37262,                 2.0065,                0.84957,                 1.6881,             0.00070895,             0.00070895,             0.00070895
                     64,                0.82742,                0.51283,                0.98014,                0.86379,                0.83535,                 0.8685,                0.37028,                 2.0008,                0.85635,                 1.6982,             0.00069782,             0.00069782,             0.00069782
                     65,                0.82616,                0.50832,                0.98345,                0.84989,                0.83114,                0.87009,                0.37469,                 2.0016,                0.85676,                 1.6945,             0.00068664,             0.00068664,             0.00068664
                     66,                0.80234,                0.50079,                0.97744,                0.87497,                0.80417,                0.86827,                0.37833,                 1.9871,                0.85588,                 1.6866,             0.00067539,             0.00067539,             0.00067539
