epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2963.22,1.73769,1.07143,1.25983,0.8412,0.807,0.85193,0.37996,1.86038,1.00601,1.44371,0.000440067,0.000440067,0.000440067
63,3010.95,1.74069,1.06195,1.2588,0.86143,0.79647,0.85364,0.38058,1.85405,1.00232,1.43949,0.000429068,0.000429068,0.000429068
64,3058.7,1.72113,1.06341,1.25344,0.86618,0.79056,0.83918,0.3763,1.87487,0.99793,1.44591,0.000418069,0.000418069,0.000418069
65,3106.57,1.73691,1.06015,1.25263,0.86611,0.80174,0.8523,0.37708,1.86854,0.99183,1.44204,0.00040707,0.00040707,0.00040707
66,3154.27,1.73042,1.05856,1.25202,0.86987,0.79649,0.85176,0.38321,1.86771,0.98621,1.44208,0.000396071,0.000396071,0.000396071
67,3202.04,1.73389,1.05863,1.2653,0.87077,0.8142,0.85477,0.38402,1.86343,0.99159,1.4376,0.000385073,0.000385073,0.000385073
68,3249.86,1.73296,1.03523,1.25082,0.88184,0.81727,0.86448,0.38353,1.86109,0.96894,1.43876,0.000374074,0.000374074,0.000374074
69,3297.58,1.72433,1.02292,1.25708,0.86412,0.79785,0.85311,0.38029,1.87934,0.97832,1.44635,0.000363075,0.000363075,0.000363075
70,3345.34,1.71277,1.01246,1.25311,0.86181,0.80501,0.85704,0.38631,1.86071,0.9833,1.43672,0.000352076,0.000352076,0.000352076
71,3393.2,1.70692,1.03421,1.24145,0.87227,0.80976,0.8594,0.38659,1.85564,0.96489,1.43604,0.000341077,0.000341077,0.000341077
72,3441,1.71144,1.00502,1.25422,0.87694,0.80914,0.8595,0.38843,1.86724,0.9651,1.44016,0.000330078,0.000330078,0.000330078
73,3488.69,1.70507,1.00182,1.25163,0.87294,0.821,0.86608,0.39083,1.86166,0.96082,1.44058,0.000319079,0.000319079,0.000319079
74,3536.49,1.68663,1.01069,1.22868,0.86984,0.80896,0.85732,0.38777,1.85093,0.96038,1.43494,0.00030808,0.00030808,0.00030808
75,3584.23,1.70432,1.00187,1.24144,0.87309,0.8189,0.86332,0.39093,1.85412,0.95151,1.43863,0.000297081,0.000297081,0.000297081
76,3632.07,1.69766,1.00304,1.24533,0.87202,0.82176,0.8645,0.39239,1.85126,0.94912,1.43352,0.000286083,0.000286083,0.000286083
77,3679.78,1.70672,0.995,1.24273,0.8669,0.81846,0.85997,0.39046,1.86197,0.95288,1.43902,0.000275084,0.000275084,0.000275084
78,3727.46,1.68357,0.96686,1.23301,0.86945,0.8207,0.86507,0.39181,1.86006,0.94498,1.43911,0.000264085,0.000264085,0.000264085
79,3775.27,1.68421,0.97933,1.23595,0.87234,0.81924,0.8581,0.38965,1.861,0.94194,1.43918,0.000253086,0.000253086,0.000253086
80,3822.97,1.67126,0.9741,1.23938,0.87366,0.81345,0.85997,0.38594,1.87253,0.94769,1.44574,0.000242087,0.000242087,0.000242087
81,3870.63,1.6936,0.98182,1.23479,0.86117,0.8228,0.8588,0.38592,1.8792,0.94562,1.45244,0.000231088,0.000231088,0.000231088
82,3918.47,1.68984,0.97303,1.23242,0.87003,0.81513,0.8591,0.38647,1.86889,0.946,1.44578,0.000220089,0.000220089,0.000220089
83,3966.26,1.68181,0.97077,1.23097,0.85302,0.81902,0.85436,0.38701,1.86988,0.9436,1.44472,0.00020909,0.00020909,0.00020909
84,4013.94,1.67217,0.95659,1.23077,0.86296,0.81673,0.85826,0.39061,1.87022,0.94071,1.44286,0.000198091,0.000198091,0.000198091
85,4061.65,1.66804,0.97032,1.22249,0.8667,0.81029,0.85868,0.39047,1.87096,0.94394,1.44394,0.000187092,0.000187092,0.000187092
86,4109.46,1.66965,0.96251,1.22896,0.86171,0.81115,0.85635,0.38923,1.87331,0.94108,1.44667,0.000176094,0.000176094,0.000176094
87,4157.19,1.65374,0.9474,1.2185,0.86838,0.81538,0.86493,0.38833,1.88159,0.93695,1.45181,0.000165095,0.000165095,0.000165095
88,4205.02,1.66224,0.94915,1.2242,0.85305,0.82181,0.86123,0.38878,1.87967,0.93539,1.44981,0.000154096,0.000154096,0.000154096
89,4252.74,1.66034,0.94443,1.22335,0.86577,0.81323,0.86387,0.38763,1.88069,0.93981,1.44999,0.000143097,0.000143097,0.000143097
90,4300.41,1.6505,0.94029,1.2157,0.85316,0.82329,0.86254,0.38769,1.87939,0.93746,1.44718,0.000132098,0.000132098,0.000132098
91,4348.56,1.63218,0.80543,1.31442,0.85266,0.82572,0.86361,0.39039,1.87502,0.93199,1.44297,0.000121099,0.000121099,0.000121099
92,4395.99,1.61462,0.79323,1.30913,0.86423,0.81738,0.86253,0.39054,1.87171,0.93018,1.4392,0.0001101,0.0001101,0.0001101
93,4443.54,1.60241,0.79204,1.30647,0.87222,0.81534,0.86024,0.39123,1.87506,0.92496,1.44175,9.91012e-05,9.91012e-05,9.91012e-05
94,4490.96,1.60371,0.78396,1.30428,0.87558,0.82621,0.86583,0.39115,1.88122,0.92567,1.44523,8.81023e-05,8.81023e-05,8.81023e-05
95,4538.54,1.59998,0.77608,1.30896,0.87229,0.82948,0.86744,0.391,1.88329,0.91835,1.44655,7.71034e-05,7.71034e-05,7.71034e-05
96,4586.09,1.592,0.77195,1.30294,0.8743,0.82742,0.86747,0.39307,1.88301,0.91642,1.44669,6.61045e-05,6.61045e-05,6.61045e-05
97,4633.63,1.58981,0.76482,1.29977,0.87553,0.82707,0.86766,0.39191,1.88325,0.91426,1.44766,5.51056e-05,5.51056e-05,5.51056e-05
98,4681.1,1.58565,0.759,1.29695,0.87381,0.82611,0.86358,0.39155,1.88626,0.91344,1.44894,4.41067e-05,4.41067e-05,4.41067e-05
99,4728.65,1.57869,0.76076,1.29034,0.86949,0.82777,0.86209,0.3904,1.88764,0.91241,1.44995,3.31078e-05,3.31078e-05,3.31078e-05
100,4776.19,1.57957,0.76037,1.2884,0.86483,0.83038,0.86296,0.39087,1.88799,0.91163,1.45,2.21089e-05,2.21089e-05,2.21089e-05
